order-date,order-date-day,order-no,platform,category,sku,state,cust-zone,qty,revenue
01-12-2024,1,A33,Plt2,Cat1,sku21,BIHAR,E,1,2499
01-12-2024,1,A34,Plt2,Cat2,sku2,UTTAR PRADESH,N,1,1999
01-12-2024,1,A35,Plt2,Cat2,sku13,MAHARASHTRA,W,1,1499
01-12-2024,1,A36,Plt2,Cat1,sku22,MAHARASHTRA,W,1,4800
01-12-2024,1,A37,Plt2,Cat2,sku12,TELANGANA,S,1,1597
01-12-2024,1,A38,Plt2,Cat1,sku23,ASSAM,E,1,3849
01-12-2024,1,A39,Plt2,Cat6,sku17,MADHYA PRADESH,W,1,1499
01-12-2024,1,A40,Plt2,Cat6,sku24,WEST BENGAL,E,1,1699
01-12-2024,1,A41,Plt2,Cat2,sku2,MAHARASHTRA,W,1,1999
01-12-2024,1,A42,Plt2,Cat2,sku5,MADHYA PRADESH,W,1,999
01-12-2024,1,A43,Plt2,Cat2,sku25,KERALA,S,1,1599
01-12-2024,1,A44,Plt2,Cat2,sku2,WEST BENGAL,E,1,1999
01-12-2024,1,A45,Plt2,Cat2,sku13,TAMIL NADU,S,1,1499
01-12-2024,1,A46,Plt2,Cat6,sku8,MAHARASHTRA,W,1,1999
01-12-2024,1,A47,Plt2,Cat2,sku26,UTTAR PRADESH,N,1,1599
01-12-2024,1,A48,Plt2,Cat5,sku27,UTTAR PRADESH,N,1,3999
01-12-2024,1,A49,Plt2,Cat2,sku13,TAMIL NADU,S,1,1499
01-12-2024,1,A50,Plt2,Cat2,sku28,MAHARASHTRA,W,1,2199
02-12-2024,2,A51,Plt2,Cat1,sku19,DELHI,N,1,4800
02-12-2024,2,A52,Plt2,Cat1,sku29,RAJASTHAN,W,1,5750
02-12-2024,2,A53,Plt2,Cat3,sku3,ANDHRA PRADESH,S,1,1099
02-12-2024,2,A54,Plt2,Cat2,sku12,UTTAR PRADESH,N,1,1597
02-12-2024,2,A55,Plt2,Cat2,sku30,TELANGANA,S,1,1799
02-12-2024,2,A56,Plt2,Cat6,sku8,WEST BENGAL,E,1,1999
02-12-2024,2,A57,Plt2,Cat2,sku5,KARNATAKA,S,1,999
02-12-2024,2,A58,Plt2,Cat2,sku31,MAHARASHTRA,W,1,1100
02-12-2024,2,A59,Plt2,Cat1,sku32,MADHYA PRADESH,W,1,3150
02-12-2024,2,A60,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
02-12-2024,2,A61,Plt2,Cat4,sku33,KERALA,S,1,2299
02-12-2024,2,A62,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
02-12-2024,2,A63,Plt2,Cat1,sku34,KERALA,S,1,4900
02-12-2024,2,A64,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
02-12-2024,2,A65,Plt2,Cat2,sku35,MAHARASHTRA,W,1,1499
02-12-2024,2,A66,Plt2,Cat2,sku36,UTTARAKHAND,N,1,1100
02-12-2024,2,A67,Plt2,Cat6,sku37,ANDHRA PRADESH,S,1,1399
02-12-2024,2,A68,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
02-12-2024,2,A69,Plt2,Cat2,sku5,PUNJAB,N,1,999
02-12-2024,2,A70,Plt2,Cat1,sku38,GUJARAT,W,1,6080
02-12-2024,2,A71,Plt2,Cat5,sku27,MAHARASHTRA,W,1,3999
02-12-2024,2,A72,Plt2,Cat2,sku10,JHARKHAND,E,1,1697
02-12-2024,2,A73,Plt2,Cat6,sku20,GUJARAT,W,1,1699
02-12-2024,2,A74,Plt2,Cat6,sku18,KERALA,S,1,1699
02-12-2024,2,A75,Plt2,Cat1,sku39,MAHARASHTRA,W,1,3359
02-12-2024,2,A76,Plt2,Cat6,sku37,HARYANA,N,1,1399
02-12-2024,2,A77,Plt2,Cat6,sku40,MAHARASHTRA,W,1,2099
02-12-2024,2,A78,Plt2,Cat2,sku31,DELHI,N,1,1100
02-12-2024,2,A79,Plt2,Cat3,sku3,KARNATAKA,S,1,1099
02-12-2024,2,A80,Plt2,Cat2,sku41,BIHAR,E,1,1499
02-12-2024,2,A81,Plt2,Cat3,sku3,HIMACHAL PRADESH,N,1,1099
02-12-2024,2,A82,Plt2,Cat2,sku35,MAHARASHTRA,W,1,1499
02-12-2024,2,A83,Plt2,Cat1,sku42,KARNATAKA,S,1,3375
02-12-2024,2,A84,Plt2,Cat3,sku16,MAHARASHTRA,W,1,999
02-12-2024,2,A85,Plt2,Cat2,sku43,KARNATAKA,S,1,1599
02-12-2024,2,A86,Plt2,Cat2,sku5,TELANGANA,S,1,999
03-12-2024,3,A87,Plt2,Cat2,sku13,MADHYA PRADESH,W,1,1499
03-12-2024,3,A88,Plt2,Cat2,sku41,ASSAM,E,1,1499
03-12-2024,3,A89,Plt2,Cat1,sku44,TAMIL NADU,S,1,3375
03-12-2024,3,A90,Plt2,Cat2,sku31,KARNATAKA,S,1,1100
03-12-2024,3,A91,Plt2,Cat1,sku6,DELHI,N,1,3099
03-12-2024,3,A92,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
03-12-2024,3,A93,Plt2,Cat6,sku45,DELHI,N,1,1499
03-12-2024,3,A94,Plt2,Cat2,sku5,MADHYA PRADESH,W,1,999
03-12-2024,3,A95,Plt2,Cat6,sku20,MAHARASHTRA,W,1,1699
03-12-2024,3,A96,Plt2,Cat6,sku18,KERALA,S,1,1699
03-12-2024,3,A97,Plt2,Cat3,sku3,WEST BENGAL,E,1,1099
03-12-2024,3,A98,Plt2,Cat4,sku46,HIMACHAL PRADESH,N,1,2199
03-12-2024,3,A99,Plt2,Cat2,sku2,KARNATAKA,S,1,1999
03-12-2024,3,A100,Plt2,Cat3,sku16,-,N,1,999
03-12-2024,3,A101,Plt2,Cat6,sku18,MAHARASHTRA,W,1,1699
03-12-2024,3,A102,Plt2,Cat1,sku47,MAHARASHTRA,W,1,4800
03-12-2024,3,A103,Plt2,Cat3,sku16,DELHI,N,1,999
03-12-2024,3,A104,Plt2,Cat3,sku16,TELANGANA,S,1,999
03-12-2024,3,A105,Plt2,Cat3,sku3,MAHARASHTRA,W,1,1099
03-12-2024,3,A106,Plt2,Cat2,sku12,MAHARASHTRA,W,1,1597
03-12-2024,3,A107,Plt2,Cat4,sku15,UTTARAKHAND,N,1,2299
03-12-2024,3,A108,Plt2,Cat4,sku15,KARNATAKA,S,1,2299
03-12-2024,3,A109,Plt2,Cat3,sku16,KERALA,S,1,999
03-12-2024,3,A110,Plt2,Cat2,sku13,RAJASTHAN,W,1,1499
03-12-2024,3,A111,Plt2,Cat2,sku12,UTTAR PRADESH,N,1,1597
03-12-2024,3,A112,Plt2,Cat6,sku48,MADHYA PRADESH,W,1,1499
03-12-2024,3,A113,Plt2,Cat2,sku12,ASSAM,E,1,1597
03-12-2024,3,A114,Plt2,Cat6,sku17,KARNATAKA,S,1,1499
03-12-2024,3,A115,Plt2,Cat2,sku25,UTTAR PRADESH,N,1,1599
03-12-2024,3,A116,Plt2,Cat6,sku18,ODISHA,E,1,1699
03-12-2024,3,A117,Plt2,Cat4,sku46,RAJASTHAN,W,1,2199
03-12-2024,3,A118,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
03-12-2024,3,A119,Plt2,Cat1,sku49,HIMACHAL PRADESH,N,1,3150
03-12-2024,3,A120,Plt2,Cat2,sku12,GUJARAT,W,1,1597
03-12-2024,3,A121,Plt2,Cat2,sku5,MADHYA PRADESH,W,1,999
03-12-2024,3,A122,Plt2,Cat2,sku41,-,N,1,1499
03-12-2024,3,A123,Plt2,Cat3,sku16,-,N,1,999
03-12-2024,3,A124,Plt2,Cat3,sku16,TELANGANA,S,1,999
03-12-2024,3,A125,Plt2,Cat6,sku20,HARYANA,N,1,1699
03-12-2024,3,A126,Plt2,Cat2,sku13,UTTAR PRADESH,N,1,1499
03-12-2024,3,A127,Plt2,Cat2,sku25,WEST BENGAL,E,1,1599
03-12-2024,3,A128,Plt2,Cat6,sku45,UTTAR PRADESH,N,1,1499
04-12-2024,4,A129,Plt2,Cat2,sku5,RAJASTHAN,W,1,999
04-12-2024,4,A130,Plt2,Cat3,sku16,ODISHA,E,1,999
04-12-2024,4,A131,Plt2,Cat2,sku31,UTTAR PRADESH,N,1,1100
04-12-2024,4,A132,Plt2,Cat2,sku31,WEST BENGAL,E,1,1100
04-12-2024,4,A133,Plt2,Cat2,sku41,MAHARASHTRA,W,1,1499
04-12-2024,4,A134,Plt2,Cat2,sku35,DELHI,N,1,1499
04-12-2024,4,A135,Plt2,Cat1,sku50,MAHARASHTRA,W,1,5679
04-12-2024,4,A136,Plt2,Cat2,sku51,KERALA,S,1,1198
04-12-2024,4,A137,Plt2,Cat2,sku13,WEST BENGAL,E,1,1499
04-12-2024,4,A138,Plt2,Cat2,sku2,DELHI,N,1,1999
04-12-2024,4,A139,Plt2,Cat1,sku21,HARYANA,N,1,2499
04-12-2024,4,A140,Plt2,Cat2,sku5,DELHI,N,1,999
04-12-2024,4,A141,Plt2,Cat2,sku12,MAHARASHTRA,W,1,1597
04-12-2024,4,A142,Plt2,Cat5,sku52,BIHAR,E,1,3999
04-12-2024,4,A143,Plt2,Cat4,sku15,GUJARAT,W,1,2299
04-12-2024,4,A144,Plt2,Cat2,sku35,MAHARASHTRA,W,1,1499
04-12-2024,4,A145,Plt2,Cat2,sku35,TAMIL NADU,S,1,1499
04-12-2024,4,A146,Plt2,Cat6,sku9,ODISHA,E,1,1499
04-12-2024,4,A147,Plt2,Cat6,sku53,HARYANA,N,1,1699
04-12-2024,4,A148,Plt2,Cat6,sku37,MAHARASHTRA,W,1,1399
04-12-2024,4,A149,Plt2,Cat2,sku5,MADHYA PRADESH,W,1,999
04-12-2024,4,A150,Plt2,Cat1,sku34,MADHYA PRADESH,W,1,4900
04-12-2024,4,A151,Plt2,Cat1,sku34,MADHYA PRADESH,W,1,4900
04-12-2024,4,A152,Plt2,Cat1,sku19,ODISHA,E,1,4800
04-12-2024,4,A153,Plt2,Cat5,sku54,KARNATAKA,S,1,2639
04-12-2024,4,A154,Plt2,Cat5,sku54,ANDHRA PRADESH,S,1,2639
04-12-2024,4,A155,Plt2,Cat4,sku4,UTTAR PRADESH,N,1,2299
04-12-2024,4,A156,Plt2,Cat6,sku18,TAMIL NADU,S,1,1699
04-12-2024,4,A157,Plt2,Cat2,sku5,DELHI,N,1,999
04-12-2024,4,A158,Plt2,Cat2,sku5,KARNATAKA,S,1,999
04-12-2024,4,A159,Plt2,Cat6,sku20,ASSAM,E,1,1699
04-12-2024,4,A160,Plt2,Cat1,sku44,MAHARASHTRA,W,1,3375
04-12-2024,4,A161,Plt2,Cat4,sku33,MADHYA PRADESH,W,1,2299
04-12-2024,4,A162,Plt2,Cat2,sku5,HARYANA,N,1,999
04-12-2024,4,A163,Plt2,Cat2,sku2,MAHARASHTRA,W,1,1999
04-12-2024,4,A164,Plt2,Cat4,sku33,RAJASTHAN,W,1,2299
04-12-2024,4,A165,Plt2,Cat2,sku2,DELHI,N,1,1999
05-12-2024,5,A166,Plt2,Cat6,sku55,UTTAR PRADESH,N,1,1599
05-12-2024,5,A167,Plt2,Cat1,sku56,TELANGANA,S,1,4270
05-12-2024,5,A168,Plt2,Cat1,sku56,TELANGANA,S,1,4270
05-12-2024,5,A169,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
05-12-2024,5,A170,Plt2,Cat2,sku31,MAHARASHTRA,W,1,1100
05-12-2024,5,A171,Plt2,Cat2,sku36,UTTAR PRADESH,N,1,1100
05-12-2024,5,A172,Plt2,Cat2,sku5,HARYANA,N,1,999
05-12-2024,5,A173,Plt2,Cat6,sku20,KERALA,S,1,1699
05-12-2024,5,A174,Plt2,Cat1,sku57,HARYANA,N,1,3624.42
05-12-2024,5,A174,Plt2,Cat1,sku21,HARYANA,N,1,2374.58
05-12-2024,5,A175,Plt2,Cat2,sku58,TELANGANA,S,1,1199
05-12-2024,5,A176,Plt2,Cat2,sku5,RAJASTHAN,W,1,999
05-12-2024,5,A177,Plt2,Cat4,sku33,GUJARAT,W,1,2299
05-12-2024,5,A178,Plt2,Cat2,sku5,KARNATAKA,S,1,999
05-12-2024,5,A179,Plt2,Cat2,sku12,BIHAR,E,1,1597
05-12-2024,5,A180,Plt2,Cat2,sku5,TELANGANA,S,1,999
05-12-2024,5,A181,Plt2,Cat2,sku2,WEST BENGAL,E,1,1999
05-12-2024,5,A182,Plt2,Cat2,sku26,KARNATAKA,S,1,1599
05-12-2024,5,A183,Plt2,Cat1,sku59,MADHYA PRADESH,W,1,4099
05-12-2024,5,A184,Plt2,Cat1,sku47,KARNATAKA,S,1,4800
05-12-2024,5,A185,Plt2,Cat2,sku51,JAMMU AND KASHMIR,N,1,1198
05-12-2024,5,A186,Plt2,Cat6,sku55,MAHARASHTRA,W,1,1599
05-12-2024,5,A187,Plt2,Cat4,sku15,RAJASTHAN,W,1,2299
05-12-2024,5,A188,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
05-12-2024,5,A189,Plt2,Cat3,sku16,KERALA,S,1,999
05-12-2024,5,A190,Plt2,Cat3,sku16,RAJASTHAN,W,1,999
05-12-2024,5,A191,Plt2,Cat1,sku60,TAMIL NADU,S,1,3799
05-12-2024,5,A192,Plt2,Cat2,sku12,MAHARASHTRA,W,1,1597
05-12-2024,5,A193,Plt2,Cat1,sku61,HARYANA,N,1,4359
05-12-2024,5,A194,Plt2,Cat6,sku40,MAHARASHTRA,W,1,2099
05-12-2024,5,A195,Plt2,Cat2,sku26,MAHARASHTRA,W,1,1599
05-12-2024,5,A196,Plt2,Cat2,sku5,UTTARAKHAND,N,1,999
05-12-2024,5,A197,Plt2,Cat3,sku16,HARYANA,N,1,999
05-12-2024,5,A198,Plt2,Cat6,sku8,HARYANA,N,1,1999
05-12-2024,5,A199,Plt2,Cat2,sku2,CHHATTISGARH,W,1,1999
05-12-2024,5,A200,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
05-12-2024,5,A201,Plt2,Cat1,sku62,HARYANA,N,1,2499
05-12-2024,5,A202,Plt2,Cat2,sku5,BIHAR,E,1,999
05-12-2024,5,A203,Plt2,Cat1,sku29,KARNATAKA,S,1,5750
05-12-2024,5,A204,Plt2,Cat1,sku21,DELHI,N,1,2499
05-12-2024,5,A205,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
05-12-2024,5,A206,Plt2,Cat1,sku63,TAMIL NADU,S,1,3839
05-12-2024,5,A207,Plt2,Cat2,sku5,RAJASTHAN,W,1,999
05-12-2024,5,A208,Plt2,Cat2,sku28,UTTARAKHAND,N,1,2199
05-12-2024,5,A209,Plt2,Cat6,sku64,MAHARASHTRA,W,1,1599
05-12-2024,5,A210,Plt2,Cat2,sku43,GUJARAT,W,1,1599
05-12-2024,5,A211,Plt2,Cat2,sku65,MAHARASHTRA,W,1,879
05-12-2024,5,A212,Plt2,Cat2,sku13,JHARKHAND,E,1,1499
05-12-2024,5,A213,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
05-12-2024,5,A214,Plt2,Cat2,sku13,KARNATAKA,S,1,1499
05-12-2024,5,A215,Plt2,Cat2,sku5,KARNATAKA,S,1,999
05-12-2024,5,A216,Plt2,Cat3,sku16,JAMMU AND KASHMIR,N,1,999
05-12-2024,5,A217,Plt2,Cat1,sku42,MAHARASHTRA,W,1,3375
05-12-2024,5,A218,Plt2,Cat1,sku66,ASSAM,E,1,4600
05-12-2024,5,A219,Plt2,Cat1,sku56,TAMIL NADU,S,1,4270
06-12-2024,6,A220,Plt2,Cat3,sku3,DELHI,N,1,1099
06-12-2024,6,A221,Plt2,Cat4,sku4,ANDHRA PRADESH,S,1,2299
06-12-2024,6,A222,Plt2,Cat3,sku3,TAMIL NADU,S,1,1099
06-12-2024,6,A223,Plt2,Cat2,sku65,BIHAR,E,1,879
06-12-2024,6,A224,Plt2,Cat2,sku5,MADHYA PRADESH,W,1,999
06-12-2024,6,A225,Plt2,Cat2,sku67,UTTAR PRADESH,N,1,998
06-12-2024,6,A226,Plt2,Cat3,sku16,UTTAR PRADESH,N,1,999
06-12-2024,6,A227,Plt2,Cat2,sku5,HARYANA,N,1,999
06-12-2024,6,A228,Plt2,Cat2,sku41,KARNATAKA,S,1,1499
06-12-2024,6,A229,Plt2,Cat2,sku5,DELHI,N,1,999
06-12-2024,6,A230,Plt2,Cat6,sku11,TELANGANA,S,1,1399
06-12-2024,6,A231,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
06-12-2024,6,A232,Plt2,Cat2,sku2,GUJARAT,W,1,1999
06-12-2024,6,A233,Plt2,Cat2,sku5,KARNATAKA,S,1,999
06-12-2024,6,A234,Plt2,Cat2,sku68,DELHI,N,1,2197
06-12-2024,6,A235,Plt2,Cat2,sku2,WEST BENGAL,E,1,1999
06-12-2024,6,A236,Plt2,Cat2,sku51,TELANGANA,S,1,1198
06-12-2024,6,A237,Plt2,Cat3,sku16,UTTARAKHAND,N,1,999
06-12-2024,6,A238,Plt2,Cat2,sku41,GUJARAT,W,1,1499
06-12-2024,6,A239,Plt2,Cat3,sku16,MAHARASHTRA,W,1,999
06-12-2024,6,A240,Plt2,Cat2,sku2,DELHI,N,1,1899
06-12-2024,6,A241,Plt2,Cat1,sku62,DELHI,N,1,2499
06-12-2024,6,A242,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
06-12-2024,6,A243,Plt2,Cat5,sku69,KARNATAKA,S,1,3299
06-12-2024,6,A244,Plt2,Cat1,sku70,PUNJAB,N,1,2499
06-12-2024,6,A245,Plt2,Cat3,sku3,DELHI,N,1,1099
06-12-2024,6,A246,Plt2,Cat6,sku11,MADHYA PRADESH,W,1,1399
06-12-2024,6,A247,Plt2,Cat6,sku40,KARNATAKA,S,1,2099
06-12-2024,6,A248,Plt2,Cat2,sku5,MANIPUR,E,1,999
06-12-2024,6,A249,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
06-12-2024,6,A250,Plt2,Cat2,sku5,ANDHRA PRADESH,S,1,999
06-12-2024,6,A251,Plt2,Cat6,sku71,UTTAR PRADESH,N,1,1499
06-12-2024,6,A252,Plt2,Cat6,sku20,MAHARASHTRA,W,1,1699
06-12-2024,6,A253,Plt2,Cat2,sku51,KERALA,S,1,1198
06-12-2024,6,A254,Plt2,Cat2,sku5,KARNATAKA,S,1,999
06-12-2024,6,A255,Plt2,Cat2,sku5,KERALA,S,1,999
06-12-2024,6,A256,Plt2,Cat2,sku12,KARNATAKA,S,1,1597
06-12-2024,6,A257,Plt2,Cat6,sku72,MAHARASHTRA,W,1,1499
06-12-2024,6,A258,Plt2,Cat6,sku20,UTTARAKHAND,N,1,1699
06-12-2024,6,A259,Plt2,Cat1,sku34,UTTAR PRADESH,N,1,4900
06-12-2024,6,A260,Plt2,Cat2,sku26,UTTAR PRADESH,N,1,1599
06-12-2024,6,A261,Plt2,Cat2,sku5,KARNATAKA,S,1,999
06-12-2024,6,A262,Plt2,Cat2,sku41,DELHI,N,1,1499
07-12-2024,7,A263,Plt2,Cat2,sku41,MAHARASHTRA,W,1,1499
07-12-2024,7,A264,Plt2,Cat2,sku25,KERALA,S,1,1599
07-12-2024,7,A265,Plt2,Cat5,sku54,ODISHA,E,1,2639
07-12-2024,7,A266,Plt2,Cat6,sku18,UTTAR PRADESH,N,1,1699
07-12-2024,7,A267,Plt2,Cat2,sku31,UTTAR PRADESH,N,1,1100
07-12-2024,7,A268,Plt2,Cat2,sku41,RAJASTHAN,W,1,1499
07-12-2024,7,A269,Plt2,Cat3,sku3,PUNJAB,N,1,1099
07-12-2024,7,A270,Plt2,Cat6,sku73,MAHARASHTRA,W,1,1499
07-12-2024,7,A271,Plt2,Cat6,sku20,HARYANA,N,1,1699
07-12-2024,7,A272,Plt2,Cat1,sku74,MAHARASHTRA,W,1,3099
07-12-2024,7,A273,Plt2,Cat6,sku45,GUJARAT,W,1,1499
07-12-2024,7,A274,Plt2,Cat2,sku5,DELHI,N,1,999
07-12-2024,7,A275,Plt2,Cat2,sku30,MAHARASHTRA,W,1,1799
07-12-2024,7,A276,Plt2,Cat2,sku5,DELHI,N,1,999
07-12-2024,7,A277,Plt2,Cat6,sku20,ASSAM,E,1,1699
07-12-2024,7,A277,Plt2,Cat6,sku20,ASSAM,E,1,1699
07-12-2024,7,A277,Plt2,Cat6,sku20,ASSAM,E,1,1699
07-12-2024,7,A277,Plt2,Cat6,sku20,ASSAM,E,1,1699
07-12-2024,7,A278,Plt2,Cat1,sku75,KARNATAKA,S,1,4000
07-12-2024,7,A279,Plt2,Cat3,sku16,GOA,W,1,999
07-12-2024,7,A280,Plt2,Cat5,sku76,KERALA,S,1,4499
07-12-2024,7,A281,Plt2,Cat3,sku3,ANDHRA PRADESH,S,1,1099
07-12-2024,7,A282,Plt2,Cat4,sku15,BIHAR,E,1,2299
07-12-2024,7,A283,Plt2,Cat3,sku3,KERALA,S,1,1099
07-12-2024,7,A284,Plt2,Cat1,sku19,KERALA,S,1,4800
07-12-2024,7,A285,Plt2,Cat4,sku33,KARNATAKA,S,1,2299
07-12-2024,7,A286,Plt2,Cat2,sku5,DELHI,N,1,999
07-12-2024,7,A287,Plt2,Cat2,sku7,WEST BENGAL,E,1,1599
07-12-2024,7,A288,Plt2,Cat6,sku45,MAHARASHTRA,W,1,1499
07-12-2024,7,A289,Plt2,Cat6,sku40,GUJARAT,W,1,2099
07-12-2024,7,A290,Plt2,Cat6,sku45,DELHI,N,1,1499
07-12-2024,7,A291,Plt2,Cat6,sku40,TELANGANA,S,1,2099
07-12-2024,7,A292,Plt2,Cat2,sku35,MAHARASHTRA,W,1,1499
07-12-2024,7,A293,Plt2,Cat4,sku33,KARNATAKA,S,1,2299
07-12-2024,7,A294,Plt2,Cat2,sku12,MAHARASHTRA,W,1,1597
07-12-2024,7,A295,Plt2,Cat3,sku3,PUNJAB,N,1,1099
07-12-2024,7,A296,Plt2,Cat6,sku40,DELHI,N,1,2099
07-12-2024,7,A297,Plt2,Cat2,sku35,MAHARASHTRA,W,1,1499
07-12-2024,7,A298,Plt2,Cat4,sku15,GUJARAT,W,1,2299
08-12-2024,8,A299,Plt2,Cat6,sku77,HARYANA,N,1,1699
08-12-2024,8,A300,Plt2,Cat2,sku43,TAMIL NADU,S,1,1599
08-12-2024,8,A301,Plt2,Cat6,sku53,GUJARAT,W,1,1699
08-12-2024,8,A302,Plt2,Cat6,sku78,RAJASTHAN,W,1,1599
08-12-2024,8,A302,Plt2,Cat6,sku18,RAJASTHAN,W,1,1699
08-12-2024,8,A303,Plt2,Cat6,sku24,UTTAR PRADESH,N,1,1699
08-12-2024,8,A304,Plt2,Cat2,sku43,KERALA,S,1,1599
08-12-2024,8,A305,Plt2,Cat2,sku5,PUNJAB,N,1,999
08-12-2024,8,A306,Plt2,Cat2,sku79,MAHARASHTRA,W,1,2297
08-12-2024,8,A307,Plt2,Cat6,sku20,GUJARAT,W,1,1699
08-12-2024,8,A308,Plt2,Cat2,sku2,TAMIL NADU,S,1,1999
08-12-2024,8,A309,Plt2,Cat2,sku5,BIHAR,E,1,999
08-12-2024,8,A310,Plt2,Cat2,sku12,KARNATAKA,S,1,1597
08-12-2024,8,A311,Plt2,Cat6,sku20,KARNATAKA,S,1,1699
08-12-2024,8,A312,Plt2,Cat2,sku41,UTTAR PRADESH,N,1,1499
08-12-2024,8,A313,Plt2,Cat6,sku8,UTTAR PRADESH,N,1,1999
08-12-2024,8,A314,Plt2,Cat2,sku68,ODISHA,E,1,2197
08-12-2024,8,A315,Plt2,Cat6,sku73,DELHI,N,1,1499
08-12-2024,8,A316,Plt2,Cat6,sku53,RAJASTHAN,W,1,1699
08-12-2024,8,A317,Plt2,Cat2,sku65,ANDHRA PRADESH,S,1,879
08-12-2024,8,A318,Plt2,Cat2,sku13,RAJASTHAN,W,1,1499
08-12-2024,8,A319,Plt2,Cat2,sku25,MAHARASHTRA,W,1,1599
08-12-2024,8,A320,Plt2,Cat6,sku53,TAMIL NADU,S,1,1699
08-12-2024,8,A321,Plt2,Cat3,sku16,KARNATAKA,S,1,999
08-12-2024,8,A322,Plt2,Cat2,sku12,JHARKHAND,E,1,1597
08-12-2024,8,A323,Plt2,Cat6,sku80,UTTAR PRADESH,N,1,1499
08-12-2024,8,A324,Plt2,Cat6,sku45,BIHAR,E,1,1499
08-12-2024,8,A325,Plt2,Cat6,sku45,TELANGANA,S,1,1499
08-12-2024,8,A326,Plt2,Cat2,sku5,RAJASTHAN,W,1,999
08-12-2024,8,A327,Plt2,Cat2,sku51,HARYANA,N,1,1198
08-12-2024,8,A328,Plt2,Cat6,sku40,GUJARAT,W,1,2099
08-12-2024,8,A329,Plt2,Cat2,sku12,MAHARASHTRA,W,1,1597
08-12-2024,8,A330,Plt2,Cat6,sku37,DELHI,N,1,1399
08-12-2024,8,A331,Plt2,Cat2,sku7,SIKKIM,E,1,1599
08-12-2024,8,A332,Plt2,Cat6,sku24,UTTAR PRADESH,N,1,1699
08-12-2024,8,A333,Plt2,Cat2,sku5,KARNATAKA,S,1,999
08-12-2024,8,A334,Plt2,Cat6,sku24,MADHYA PRADESH,W,1,1699
